Country / Territory,ISO3,Region,CPI score 2021,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Oman,OMN,MENA,52,56,7.12,6,40.28,63.72,,,25,37,,47,,,50,61,,91,
Slovakia,SVK,WE/EU,52,56,2.01,10,48.69,55.31,,44,61,55,59,71,38,,54,62,,29,45
Armenia,ARM,ECA,49,58,3.76,6,42.81,55.19,,,45,,44,47,,,32,59,,66,
Greece,GRC,WE/EU,49,58,1.63,8,46.32,51.68,,53,,37,,47,54,,41,59,,48,52
Jordan,JOR,MENA,49,58,2.65,8,44.64,53.36,,,33,55,,35,63,,46,43,,63,52
Namibia,NAM,SSA,49,58,2.61,7,44.70,53.30,,,33,55,,59,,,50,60,,42,46
Malaysia,MYS,AP,48,62,1.32,9,45.83,50.17,,,49,55,,59,43,38,41,49,,54,48
Croatia,HRV,WE/EU,47,63,1.56,10,44.43,49.57,,44,53,55,53,47,28,,50,56,,30,50
Cuba,CUB,AME,46,64,3.07,5,40.95,51.05,,,41,55,,35,,,53,47,,,
Montenegro,MNE,ECA,46,64,2.13,5,42.49,49.51,,,53,,44,47,,,,38,,50,
China,CHN,AP,45,66,1.77,9,42.09,47.91,,,41,37,,47,57,40,32,51,,59,39
Romania,ROU,WE/EU,45,66,1.00,10,43.36,46.64,,44,53,37,56,47,38,,41,46,,39,48
Sao Tome and Principe,STP,SSA,45,66,4.82,4,37.07,52.93,32,,,,,47,,,,59,43,,
Vanuatu,VUT,AP,45,66,4.58,3,37.46,52.54,,,,,,47,,,,52,35,,
Jamaica,JAM,AME,44,70,3.66,6,37.97,50.03,,,37,37,,35,,,41,66,,,48
South Africa,ZAF,SSA,44,70,2.35,8,40.13,47.87,,,49,55,,47,24,,49,51,,32,43
Tunisia,TUN,MENA,44,70,1.90,7,40.88,47.12,,,37,37,,47,,,48,54,,47,36
Ghana,GHA,SSA,43,73,1.53,9,40.48,45.52,49,,41,55,,47,,,50,34,43,34,33
Hungary,HUN,WE/EU,43,73,1.30,10,40.86,45.14,,35,37,55,42,59,38,,48,43,,36,39
Kuwait,KWT,MENA,43,73,2.00,6,39.71,46.29,,,45,37,,35,,,41,45,,53,
Senegal,SEN,SSA,43,73,1.35,9,40.78,45.22,42,,37,55,,47,,,32,51,43,37,44
Solomon Islands,SLB,AP,43,73,7.31,3,30.97,55.03,,,,,,59,,,,35,35,,
Bahrain,BHR,MENA,42,78,5.20,6,33.45,50.55,,,33,37,,35,,,45,29,,74,
Benin,BEN,SSA,42,78,2.35,7,38.14,45.86,39,,41,,,35,,,,60,43,41,34
Burkina Faso,BFA,SSA,42,78,1.37,7,39.75,44.25,44,,33,,,47,,,41,46,43,,36
Bulgaria,BGR,WE/EU,42,78,1.18,10,40.06,43.94,,44,53,37,53,35,34,,48,38,,39,36
Timor-Leste,TLS,AP,41,82,3.68,4,34.94,47.06,,,41,,,35,,,,53,35,,
Belarus,BLR,ECA,41,82,2.35,8,37.14,44.86,,,33,37,30,47,,,29,51,,50,54
Trinidad and Tobago,TTO,AME,41,82,3.66,7,34.98,47.02,,,41,37,,35,,,32,72,,34,40
India,IND,AP,40,85,1.17,9,38.07,41.93,,,45,37,,47,46,31,41,46,,40,31
Maldives,MDV,AP,40,85,4.39,3,32.77,47.23,,,,,,35,,,,49,35,,
Kosovo,KSV,ECA,39,87,2.31,6,35.20,42.80,,,37,,36,35,,,,54,35,,36
Colombia,COL,AME,39,87,1.45,8,36.61,41.39,,,45,37,,47,30,,39,47,,33,36
Ethiopia,ETH,SSA,39,87,1.21,8,37.01,40.99,44,,33,37,,47,,,40,45,35,,35
Guyana,GUY,AME,39,87,2.13,5,35.49,42.51,,,,,,35,,,41,49,35,,36
Morocco,MAR,MENA,39,87,2.47,6,34.93,43.07,,,29,37,,35,,,50,47,,,36
North Macedonia,MKD,ECA,39,87,1.66,7,36.27,41.73,,,45,37,47,35,,,,30,,35,41
Suriname,SUR,AME,39,87,4.29,4,31.94,46.06,,,,,,35,,,32,54,,,35
Tanzania,TZA,SSA,39,87,1.39,9,36.71,41.29,39,,37,37,,35,,,32,51,35,52,34
Vietnam,VNM,AP,39,87,0.82,8,37.65,40.35,,,37,37,,47,,38,41,39,,39,35
Argentina,ARG,AME,38,96,2.10,8,34.55,41.45,,,49,37,,35,22,,39,49,,30,45
Brazil,BRA,AME,38,96,1.61,8,35.34,40.66,,,53,37,,35,35,,32,43,,31,36
Indonesia,IDN,AP,38,96,2.14,9,34.48,41.52,,,33,37,,47,44,32,48,22,,53,23
Lesotho,LSO,SSA,38,96,4.00,6,31.42,44.58,24,,37,,,59,,,,46,35,27,
Serbia,SRB,ECA,38,96,1.42,8,35.66,40.34,,,37,37,50,35,,,32,33,,44,34
Turkey,TUR,ECA,38,96,2.10,9,34.55,41.45,,26,37,37,,47,42,,37,24,,61,36
Gambia,GMB,SSA,37,102,3.38,8,31.43,42.57,16,,25,,,47,,,41,56,27,54,29
Kazakhstan,KAZ,ECA,37,102,3.33,9,31.52,42.48,,,33,20,24,35,66,,64,19,,33,38
Sri Lanka,LKA,AP,37,102,0.99,7,35.36,38.64,,,37,37,,35,,,32,38,,44,36
Cote d'Ivoire,CIV,SSA,36,105,1.40,9,33.69,38.31,39,,25,37,,47,,,32,36,43,35,26
Ecuador,ECU,AME,36,105,1.58,7,33.41,38.59,,,45,37,,35,,,41,36,,26,33
Moldova,MDA,ECA,36,105,1.34,7,33.79,38.21,,,33,37,36,47,,,32,33,,,34
Panama,PAN,AME,36,105,1.02,7,34.33,37.67,,,33,37,,35,,,32,43,,40,35
Peru,PER,AME,36,105,1.84,8,32.97,39.03,,,49,37,,35,25,,45,38,,29,30
Albania,ALB,ECA,35,110,1.33,8,32.82,37.18,,,41,37,42,35,,,39,25,,32,30
Bosnia and Herzegovina,BIH,ECA,35,110,1.80,7,32.04,37.96,,,37,37,44,35,,,,25,,27,37
Malawi,MWI,SSA,35,110,1.69,9,32.21,37.79,37,,37,20,,47,,,48,30,35,28,36
Mongolia,MNG,AP,35,110,0.57,8,34.06,35.94,,,37,37,,35,29,,37,34,,34,35
Thailand,THA,AP,35,110,0.84,9,33.62,36.38,,,37,37,,35,39,36,32,26,,42,35
El Salvador,SLV,AME,34,115,1.59,7,31.38,36.62,,,45,37,,35,,,34,26,,29,34
Sierra Leone,SLE,SSA,34,115,1.84,9,30.98,37.02,34,,37,20,,47,,,50,33,35,28,26
Egypt,EGY,MENA,33,117,4.09,7,26.28,39.72,,,25,37,,22,,,32,23,,66,27
Nepal,NPL,AP,33,117,0.54,6,32.12,33.88,,,33,,,35,,,,30,35,34,32
Philippines,PHL,AP,33,117,0.94,9,31.46,34.54,,,33,37,,35,30,38,41,29,,32,26
Zambia,ZMB,SSA,33,117,1.63,9,30.31,35.69,34,,21,37,,35,,,32,49,27,23,35
