"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","270","GMB","The Gambia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Series is sourced from UN Comtrade beginning 2000. Re-exports are included, seemingly with a break in series in 2009 where their amount increased dramatically (food and textiles to neighbouring countries)."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","818","EGY","Egypt","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Coverage","2008 onwards: general trade system"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_QM","Total merchandise imports - quarterly","591","PAN","Panama","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","domestic trade only"
"Merchandise trade values","ITS_MTV_QX","Total merchandise exports - quarterly","591","PAN","Panama","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","domestic trade only"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","180","COD","Democratic Republic of the Congo","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","2000-06 data were revised in April 2011 to BOP data (www.bcc.cd). National 07-09 data are considerably higher than previous periods due to an adjustment aimed at balancing the upward revised exports and were not yet considered because of a large discrepancy with mirror statistics."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","562","NER","Niger","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data are based on Balance of payments, which include estimates for informal trade."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","756","CHE","Switzerland","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data include gold trade from 2012 which result in the upward revision of the 2012-14 export and import values by around 50%. Beginning 2002: electricity, returned goods and processing-related trade are included (USD 3.8 billion in 2002)."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","524","NPL","Nepal","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Series refer to calendar year beginning mid-January"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","704","VNM","Viet Nam","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 50: data include trade flows of Cambodia and Lao People's Dem Rep"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","910","","Commonwealth of Independent States (CIS), including certain associate and former member States","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 1994, Russian Federation data exclude trade with the successor states of the former USSR."
